epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.045,1.39611,3.12435,0.01472,0.52507,0.38934,0.38371,0.25883,1.41769,2.20741,0.01928,0.000331723,0.000331723,0.0671594
2,320.325,1.3242,1.83455,0.01436,0.58076,0.57947,0.59432,0.39124,1.50487,1.69524,0.02123,0.000664725,0.000664725,0.0341591
3,391.347,1.32709,1.59464,0.01427,0.71688,0.67487,0.70218,0.49554,1.41756,1.30029,0.01963,0.0009964,0.0009964,0.00115743
4,461.567,1.28744,1.40705,0.01407,0.71435,0.74734,0.77157,0.52907,1.43412,1.19354,0.01921,0.00099552,0.00099552,0.00099552
5,532.48,1.27121,1.30399,0.01382,0.75477,0.7794,0.80849,0.53329,1.45845,1.13217,0.02129,0.000992045,0.000992045,0.000992045
6,604.743,1.27194,1.20524,0.01358,0.84839,0.70427,0.78855,0.44899,1.77454,1.20337,0.02776,0.000987589,0.000987589,0.000987589
7,675.163,1.23869,1.1144,0.01332,0.85328,0.75953,0.82981,0.54976,1.48911,0.9735,0.02144,0.000982162,0.000982162,0.000982162
8,745.586,1.22027,1.09001,0.01288,0.86888,0.73327,0.83336,0.61235,1.22463,1.01996,0.01658,0.000975773,0.000975773,0.000975773
9,816.026,1.19042,1.03671,0.01257,0.79994,0.72474,0.80027,0.59728,1.25164,0.96624,0.01732,0.000968436,0.000968436,0.000968436
10,886.732,1.1419,0.96887,0.0124,0.8206,0.80251,0.84451,0.64795,1.16912,0.91588,0.01516,0.000960166,0.000960166,0.000960166
11,956.271,1.13801,0.93521,0.01211,0.85142,0.83292,0.85641,0.60913,1.34512,0.92311,0.01898,0.00095098,0.00095098,0.00095098
12,1026.54,1.13425,0.92353,0.01205,0.87302,0.80737,0.85779,0.66553,1.1196,0.81958,0.01467,0.000940895,0.000940895,0.000940895
13,1096.56,1.11873,0.88007,0.01185,0.77588,0.85149,0.85205,0.67198,1.09622,0.84765,0.01374,0.000929932,0.000929932,0.000929932
14,1166.76,1.10727,0.87805,0.01163,0.78705,0.83287,0.85935,0.69763,1.05077,0.81161,0.0132,0.000918114,0.000918114,0.000918114
15,1236.9,1.07899,0.83697,0.01129,0.83092,0.84431,0.86647,0.66174,1.10949,0.78638,0.01506,0.000905463,0.000905463,0.000905463
16,1306.91,1.08754,0.82335,0.01121,0.87749,0.79923,0.86668,0.69525,1.05991,0.7926,0.01341,0.000892007,0.000892007,0.000892007
17,1376.88,1.07687,0.79739,0.01102,0.88516,0.82612,0.87703,0.68687,1.05322,0.74154,0.01382,0.00087777,0.00087777,0.00087777
18,1446.9,1.07347,0.79389,0.01131,0.91948,0.82558,0.88102,0.70252,1.04809,0.73409,0.01311,0.000862783,0.000862783,0.000862783
19,1516.61,1.05639,0.76261,0.01084,0.88765,0.86038,0.89452,0.70675,1.06697,0.70111,0.01355,0.000847076,0.000847076,0.000847076
20,1588.86,1.03599,0.73745,0.01048,0.87057,0.85534,0.89114,0.71484,1.02814,0.6505,0.01289,0.00083068,0.00083068,0.00083068
21,1658.88,1.04788,0.74868,0.01085,0.90637,0.81289,0.86878,0.72469,0.98872,0.76976,0.01239,0.000813627,0.000813627,0.000813627
22,1729.53,1.02022,0.72638,0.01069,0.92906,0.82732,0.89186,0.70788,1.03954,0.70629,0.01277,0.000795954,0.000795954,0.000795954
23,1800.02,1.02528,0.71989,0.0105,0.90133,0.85573,0.88075,0.69679,1.04264,0.75024,0.0129,0.000777694,0.000777694,0.000777694
24,1870.1,1.01364,0.67932,0.01047,0.83737,0.87912,0.89701,0.68484,1.12985,0.6883,0.01501,0.000758885,0.000758885,0.000758885
25,1940.66,1.00747,0.6783,0.01022,0.88611,0.8805,0.88937,0.73592,0.97744,0.71041,0.01167,0.000739565,0.000739565,0.000739565
26,2011.13,0.98016,0.6792,0.00998,0.89161,0.85829,0.89068,0.70747,1.04219,0.71173,0.01331,0.000719772,0.000719772,0.000719772
27,2081.5,0.96894,0.65839,0.00982,0.86907,0.86891,0.8912,0.71212,1.00891,0.7055,0.01264,0.000699547,0.000699547,0.000699547
